,lemma,language,headline,definition,detail,href
138,استنّى,ajp,Verb,to wait,"خلّينا نستنّى نشوف شو بتحكي المسّ
ḵallīna nistanna nšūf šū btiḥki il-miss
Let's wait to see what the teacher says.",
139,استورد,ajp,Verb,to import,"منستورد بضاعتنا من الخارج.
mnistawradd bḍāʔatna min il-ḵārej
We import our goods from abroad.",/wiki/%D8%A7%D8%B3%D8%AA%D9%88%D8%B1%D8%AF
140,اسم,ajp,Noun,name,"اسم العيلة
ʔism il-ʕēle
surname, family name
اسم الشخص
ʔism iš-šaḵṣ
first name
شو اسمك؟
šu ʔismak?
What's your name?
شو الاسم الكريم؟
šu l-ʔism il-karīm?
What's your noble name?",/wiki/%D8%A7%D8%B3%D9%85
141,اسم,ajp,Noun,noun,,/wiki/%D8%A7%D8%B3%D9%85
142,اسمر,ajp,Verb,"to get dark, to tan","كنت في البحر واسمرّيت كتير.
kunt fi-l-baḥr w-ismarrēt ktīr
I was at the sea [beach] and I got really tanned.",/wiki/%D8%A7%D8%B3%D9%85%D8%B1
143,اشترك,ajp,Verb,to subscribe,"ما تنسو تشتركو بالقناة.
mā tinsu tištirku bil-qanā.
Don't forget to subscribe to the channel.",/wiki/%D8%A7%D8%B4%D8%AA%D8%B1%D9%83
144,اشترك,ajp,Verb,"to participate, to take part, to join in",,/wiki/%D8%A7%D8%B4%D8%AA%D8%B1%D9%83
145,اشترى,ajp,Verb,"to buy, to purchase","ممكن تشتري ضوّ من الضواو المدوّرة العاديّة تبعة الموجة الجديد.
mumkin tištri ḍaww min iḍ-ḍwāw li-mdawwra l-ʕādiyye tabʕat il-mūje li-jdīde
You can buy a light from the normal circle lights of the new trend.",/wiki/%D8%A7%D8%B4%D8%AA%D8%B1%D9%89
146,اشتغل,ajp,Verb,to work (+ على‎),"ما اشتغلت مبارح.
mā ištaḡalt mbāreḥ
I didn't work yesterday.
شو بتشتغل؟
šū btištḡel?
What do you do for a living?
what do you work?
لازم نبدا نشتغل عالمشروع الإنجليزي.
lāzem nibda ništḡel ʕal-mašrūʕ il-ʔinglīzi
We have to start working on the English project.",/wiki/%D8%A7%D8%B4%D8%AA%D8%BA%D9%84
147,اعتبر,ajp,Verb,"to deem, to consider","أنا شخصيّا بعتبرها من أكتر حركات الدبكة سهولة.
ʔana šaḵṣiyyan baʕtber-ha min ʔaktar ḥarakāt id-dabke shūle
I personally consider it one of the easiest dabke moves.",/wiki/%D8%A7%D8%B9%D8%AA%D8%A8%D8%B1
148,افتخر,ajp,Verb,to be proud,"بفتخر إني مسلم
baftaḵer inni muslim
I'm proud to be Muslim (lit. I am proud that I am Muslim)",/wiki/%D8%A7%D9%81%D8%AA%D8%AE%D8%B1
149,افتخر,ajp,Verb,"to boast, to take pride in","بتفتخر في إنجازاتها
btiftaḵer fi injazatha
She boasts about her achievements.",/wiki/%D8%A7%D9%81%D8%AA%D8%AE%D8%B1
150,التقى,ajp,Verb,"to meet, to meet up","يلا نلتقي بكرا.
yalla niltaʔi bukra
Let's meet up tomorrow.",/wiki/%D8%A7%D9%84%D8%AA%D9%82%D9%89
151,الحمد لله,ajp,Interjection,"thank God, praise be to God",,/wiki/%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%84%D9%84%D9%87
152,الحمد لله,ajp,Interjection,"(by extension) well, doing fine","أنا الحمد لله.
ʔana l-ḥamdi-lla.
I'm fine, thank God.",/wiki/%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%84%D9%84%D9%87
153,الـ,ajp,Article,the (definite article),,
154,اللي,ajp,Pronoun,(relative) who; whom; which; that,"البنت اللي شفتها مبارح بتشتغل معي.
il-bint illi šuft-ha mbāreḥ btištḡel maʕi
The girl I saw yesterday works with me.
The girl that I saw her yesterday works with me.",/wiki/%D8%A7%D9%84%D9%84%D9%8A
155,اللي,ajp,Pronoun,"the person who, whoever; that which, whatever (at the beginning of a sentence)",,/wiki/%D8%A7%D9%84%D9%84%D9%8A
156,امتنع,ajp,Verb,"to abstain, to refrain (from + عن‎ (ʕan) / من‎ (min))","امتنعو عن التصويت
imtanaʕū ʕan it-taṣwīt
They abstained from voting.",/wiki/%D8%A7%D9%85%D8%AA%D9%86%D8%B9
157,انباع,ajp,Verb,passive of باع‎ (bāʕ): to be sold,,/wiki/%D8%A7%D9%86%D8%A8%D8%A7%D8%B9
158,انباع,ajp,Verb,mediopassive of باع‎ (bāʕ): to sell,"بنباع منيح.
binbāʕ mnīḥ
It sells well.",/wiki/%D8%A7%D9%86%D8%A8%D8%A7%D8%B9
159,انتخب,ajp,Verb,to elect,"فيه أمل إنه ينتخبوها.
fi ʔamal ʔinno yintaḵbuha .
There is hope that they might elect her",/wiki/%D8%A7%D9%86%D8%AA%D8%AE%D8%A8
160,انتقل,ajp,Verb,"to move (change location, residence)","بتعرف لوين رح ينتقلوا.
btiʕrif lawēn ra raḥ yintaʔlu?.
Do you know where they're moving to?",/wiki/%D8%A7%D9%86%D8%AA%D9%82%D9%84
161,انتمى,ajp,Verb,to belong,"بنتمو لهالجمعيّة.
bintmu la-hāl-jamʕiyye
They belong to this association.",/wiki/%D8%A7%D9%86%D8%AA%D9%85%D9%89
162,انحبّ,ajp,Verb,passive of حبّ‎ (ḥabb): to be loved,"إنتا بتستحقّ تنحبّ
ʔinta btistaḥaʔʔ tinḥabb
You deserve to be loved.",
163,اندمج,ajp,Verb,"to integrate, to become integrated or absorbed","بسهولة بندمجو بالمجتمع.
bi-sahule bindamju bi-l-mujtamaʕ
They integrate easily into society.",/wiki/%D8%A7%D9%86%D8%AF%D9%85%D8%AC
164,انفتح,ajp,Verb,"mediopassive of فتح‎ (fataḥ): to open (intransitive), become open, be opened","فجأة انفتح الباب.
fajʔa nfataḥ il-bāb
Suddenly the door opened.
الباب بنفتح لحاله.
il-bāb binfateḥ la-ḥālo
The door opens automatically.",/wiki/%D8%A7%D9%86%D9%81%D8%AA%D8%AD
165,انفكّ,ajp,Verb,"to fall apart, to break down","العقدة انفكّت.
il-ʕoʔde infakkat
The knot came undone.",
166,انقلع,ajp,Verb,"(passive) to get torn out, to be uprooted, to get pulled out","انقلعي من وجهي!
inʔalaʕī min wijhī!
Get lost! (lit. get out from my face)",/wiki/%D8%A7%D9%86%D9%82%D9%84%D8%B9
167,انكبّ,ajp,Verb,"passive of كبّ‎ (kabb):
to be spilled
to be tossed, thrown out, thrown away","الكمّامة لازم تتغيّر وتنكبّ كلّ تمن لعشر ساعات.
il-kammāme lāzem titḡayyar w tinkabb kull taman la-ʕašr sāʕāt
The mask must be changed and thrown away every eight to ten hours.",
168,انكبّ,ajp,Verb,to be spilled,,
169,انكبّ,ajp,Verb,"to be tossed, thrown out, thrown away","الكمّامة لازم تتغيّر وتنكبّ كلّ تمن لعشر ساعات.
il-kammāme lāzem titḡayyar w tinkabb kull taman la-ʕašr sāʕāt
The mask must be changed and thrown away every eight to ten hours.",
170,اهتمّ,ajp,Verb,to be interested in,"الشبّ بهتمّ فيها.
iš-šab bihtamm fīhā
The boy is interested in her.",
171,اهتمّ,ajp,Verb,to pay attention to,"لازم تهتمّ في دروسك.
lāzem tihtamm fī drūsak
You must pay attention to your studies.",
172,ايّا,ajp,Particle,object particle with an attached suffix pronoun,"كانت بدّها ايّانا نروح معها على محلّ ما بعرفه.
kānat biddha yyāna nrūḥ maʕha ʕala maḥall mā baʕrifo
She wanted us to go with her to a place I don't know.
رح أشوف إذا فيه أكم شغلة بالبيت ما بدّنا ايّاهم بجيبلك ايّاهم.
raḥ ʔašūf ʔiza fīh ʔakam šaḡle bil-bēt ma biddna yyāhom bajīblak iyyāhom
I'm going to see if there are any things in the house we don't need (them) to bring them to you.",
173,بارد,ajp,Adjective,cold,"الطقس بارد.
iṭ-ṭaʔs bāred
The weather is cold.",/wiki/%D8%A8%D8%A7%D8%B1%D8%AF
174,بارد,ajp,Adjective,"unemotional, cold-hearted",,/wiki/%D8%A8%D8%A7%D8%B1%D8%AF
175,بارد,ajp,Adjective,sluggish,,/wiki/%D8%A8%D8%A7%D8%B1%D8%AF
176,بارك,ajp,Verb,"to congratulate, to bless","بدّنا نروح نباركله.
biddnā nrūḥ nbārek-lo
We want to go congratulate him.",/wiki/%D8%A8%D8%A7%D8%B1%D9%83
177,باس,ajp,Verb,to kiss,"قوم بوس راس أخوك.
ʔūm būs rās ʔaḵūk
Go make up with your brother.
Get up and kiss your brother's head.",/wiki/%D8%A8%D8%A7%D8%B3
178,باص,ajp,Noun,bus,,/wiki/%D8%A8%D8%A7%D8%B5
179,باع,ajp,Verb,(transitive) to sell,"بعت سيّارتي لمحمود.
biʕt sayyārti la-maḥmūd
I sold my car to Mahmoud.",/wiki/%D8%A8%D8%A7%D8%B9
180,بال,ajp,Noun,mind,"طوّل بالك.
ṭawwel bālak
Be patient.
Lengthen your mind.
دير بالك.
dīr bālak
Be careful.
Direct your mind.
دير بالك على إمّك.
dīr bālak ʕala ʕimmak
Take care of your mother.",/wiki/%D8%A8%D8%A7%D9%84
181,بالمرة,ajp,Adverb,never,,/wiki/%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%A9
182,بالمرة,ajp,Adverb,"at all, not at all","تصرّفاتها بالمرّة ما عجبتني.
taṣarrofātha bil-marra mā ʕajbatni
I didn't like her behavior at all.
Her behavior didn't please me at all.",/wiki/%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%A9
183,بالمية,ajp,Phrase,percent,"ميّة بالميّة
miyye bil-miyye
100%",/wiki/%D8%A8%D8%A7%D9%84%D9%85%D9%8A%D8%A9
184,باي,ajp,Interjection,"(informal) bye-bye, bye","يلا باي
yaḷḷa ḅāy
bye-bye",/wiki/%D8%A8%D8%A7%D9%8A
185,بخبخ,ajp,Verb,"to sprinkle, to spray",,/wiki/%D8%A8%D8%AE%D8%A8%D8%AE
186,بخبخ,ajp,Verb,"(by extension) to drizzle, to rain lightly","(الدنيا) عم بتبخبخ.
(id-dinya) ʕam bitbaḵbeḵ.
It's drizzling.",/wiki/%D8%A8%D8%AE%D8%A8%D8%AE
187,بدا,ajp,Verb,"(intransitive, transitive) to begin, to start","ايمتى بدّه يبدا الاجتماع؟
emta biddo yibda l-ijtimāʕ?
When is the meeting going to start?
بدا قتال بين شباب المدرستين.
bada ʔtāl bēn šabāb il-madrastēn.
A fight broke out between the guys from the two schools.
A fight started between the guys of the two schools.
اليوم بديت شغلي الساعة تمانية بالزبط.
il-yōm badēt šuḡli s-sāʕa tamānye biẓ-ẓabṭ.
Today I started work at eight o'clock.
بدا علاقة مع بنت عشر سنين ازغر منه.
bada ʕalāqa maʕ bint ʕašr snīn azḡar minno.
He got into a relationship with a girl ten years younger than him.
He started a relationship with a girl ten years younger than him.",/wiki/%D8%A8%D8%AF%D8%A7
188,بدل,ajp,Preposition,instead of,"بعتقد إنّه أحسنلك تختار هالسيّارة بدل التاني.
baʕtaʔed ʔinno ʔaḥsan-lak tiḵtār hās-sayyāra badal it-tāni
I think it would be better for you to choose this car over the other one.",/wiki/%D8%A8%D8%AF%D9%84
189,بدّ,ajp,Preposition,(false verb) to want,"بدّك قهوة؟
biddak ʔahwe?
Do you want some coffee?
بدي أشوفك كل يوم يا حبيبي.
biddi ʔašūfak kull yōm ya ḥabībi.
I want to see you every day, my dear.",
190,بدّ,ajp,Preposition,"(false verb, by extension) to need","ابني مريض كتير وبدّه دوا ضروري.
ibni marīḍ ktīr w biddo dawa ḍurūri.
My son is very sick and needs medicine.
My son is very sick and wants medicine necessarily.",
191,بدّ,ajp,Preposition,"(auxiliary) will, going to","بدي أمرق لعنده بكرة.
biddi ʔamroʔ la-ʕindo bukra.
I'm going to go to his house tomorrow.",
192,بدّع,ajp,Verb,"to excel, do a good job","شباب الفريق التاني كمان بدّعو.
šabāb il-farīʔ it-tāni kamān baddaʕu.
The guys of the other team did a great job too.",
193,بدّل,ajp,Verb,to exchange,"بدّي ابدّل هالقميص بنمرة ازغر.
biddi abaddel hal-ʔamīṣ bi-numra azḡar.
I want to exchange this shirt for a smaller size.",
194,برد,ajp,Verb,"(intransitive) to become cold, to cool down","اشرب القهوة قبل ما تبرد.
išrab il-ʔahwe ʔabel mā tobrod.
Drink the coffee before it gets cold.",/wiki/%D8%A8%D8%B1%D8%AF
195,برد,ajp,Verb,to catch a cold,,/wiki/%D8%A8%D8%B1%D8%AF
196,برد,ajp,Noun,cold,"الدنيا برد.
id-dinya bard
It's cold.
The world is cold.",/wiki/%D8%A8%D8%B1%D8%AF
197,برد,ajp,Noun,a cold (illness),,/wiki/%D8%A8%D8%B1%D8%AF
198,برد,ajp,Noun,hail,"عم بتشتّي برد.
ʕam bitšatti barad
It's hailing.
It's raining hail.
نازل برد.
nāzel barad
It's hailing.
Hail is falling.",/wiki/%D8%A8%D8%B1%D8%AF
199,بردقان,ajp,Noun,(uncountable) oranges (fruits),"حبة بردقان / بردقانة
ḥabbet burdʔān / burdʔāne
an orange",/wiki/%D8%A8%D8%B1%D8%AF%D9%82%D8%A7%D9%86
200,برقوق,ajp,Noun,(uncountable) plums,"حبة برقوق / برقوقة
ḥabbet barʔūʔ / barʔūʔa
a plum",/wiki/%D8%A8%D8%B1%D9%82%D9%88%D9%82
201,برّد,ajp,Verb,(transitive) to cool down,,
202,بسّ,ajp,Adverb,"only, just","ماما، بسّ خمس دقايق.
māmā, bass ḵams daʔāyeʔ
Mom, just five minutes.",
203,بسّ,ajp,Conjunction,but,,
204,بسّ,ajp,Conjunction,"as soon as, once (with subjunctive verb)",,
205,بسّ,ajp,Interjection,"that's enough!, stop it!",,
206,بسّ,ajp,Noun,cat,,
207,بطاطا,ajp,Noun,(uncountable) potatoes,"حبة بطاطا
ḥabbet baṭāṭa
a potato",/wiki/%D8%A8%D8%B7%D8%A7%D8%B7%D8%A7
208,بطاقة,ajp,Noun,"card, ticket, label","بطاقة الهويّة
biṭāqat il-hawiyye
identity card",/wiki/%D8%A8%D8%B7%D8%A7%D9%82%D8%A9
209,بطّل,ajp,Verb,"to quit, to stop","بطّلت تشتري عنده.
baṭṭalat tištri ʕindo
She stopped buying at his [place].",
210,بطّل,ajp,Verb,"(by extension) anymore, no longer","بطّلت توكل؟
baṭṭalt tōkel
You're not going to eat anymore?",
211,بعت,ajp,Verb,to send,"بعتلي مكتوب.
baʕat-li maktūb
He sent me a letter.",/wiki/%D8%A8%D8%B9%D8%AA
212,بعد,ajp,Preposition,after,,/wiki/%D8%A8%D8%B9%D8%AF
213,بعد,ajp,Preposition,(Galilee) still; not yet,"بكرة حفلة التخرّج وبعدنا مش مخلّصين امتحانات مدارس.
bukra ḥaflat it-taḵarruj w-baʕᵉdna miš mḵallaṣīn imtiḥānāt madāres.
Tomorrow is the graduation ceremony and we still haven't finished [our] school exams.",/wiki/%D8%A8%D8%B9%D8%AF
214,بعض,ajp,Determiner,"some, several","بعض الناس
baʕd in-nās
some people",/wiki/%D8%A8%D8%B9%D8%B6
215,بعض,ajp,Pronoun,"one another, each other","بحبّو بعض.
biḥebbu baʕḍ
They love each other.",/wiki/%D8%A8%D8%B9%D8%B6
216,بعض,ajp,Pronoun,(+ مع‎) together,,/wiki/%D8%A8%D8%B9%D8%B6
217,بعض,ajp,Pronoun,"(+ ورا‎) back to back, in a row","عملت تلات فحوصات كورونا تلات إيّام ورا بعض.
ʕmilt talāt fḥūṣāt korōna talāt-iyyām wara baʕḍ
I did three coronavirus tests three days in a row.",/wiki/%D8%A8%D8%B9%D8%B6
218,بقرب,ajp,Verb,to be related to (someone),"بقربلي.
biʔrab-li
He is related to me.",/wiki/%D8%A8%D9%82%D8%B1%D8%A8
219,بكى,ajp,Verb,to cry,"ما بدّي اشوفك عمّ تبكي.
mā biddī ašūfak ʕamm tibkī
I don't want to see you crying.",/wiki/%D8%A8%D9%83%D9%89
220,بلاش,ajp,Pronoun,nothing,,/wiki/%D8%A8%D9%84%D8%A7%D8%B4
221,بلاش,ajp,Pronoun,for free (without payment),"أخدته ببلاش.
ʔaḵadto bi-balāš
I got it for free.",/wiki/%D8%A8%D9%84%D8%A7%D8%B4
222,بلاش,ajp,Interjection,never mind!,,/wiki/%D8%A8%D9%84%D8%A7%D8%B4
223,بلوط,ajp,Noun,(collective) oaks,,/wiki/%D8%A8%D9%84%D9%88%D8%B7
224,بلوط,ajp,Noun,(collective) acorns,"شجرة بلوط
šajret ballūṭ
an oak tree / an acorn tree",/wiki/%D8%A8%D9%84%D9%88%D8%B7
225,بلّش,ajp,Verb,"(intransitive) to begin, to start","خلّينا نبلّش قبل ما يرجع.
ḵallīnā nballeš ʔabl mā yirjaʕ.
Let's start before he comes back.
الحلقة بلّشت ابكر من ما كان مكتوب بالبرنامج.
il-ḥalqa ballašat abkar min mā kān maktūb bil-barnāmej
The episode started earlier than was written in the schedule.",
226,بلّش,ajp,Verb,"(transitive) to begin, to start (+ ب or في‎)","كمان مرّة بدّك تبلّش بهالموضوع وتخرّب مزاجي؟
kamān marra biddak tballaš bi-hāl-mawdūʕ w tḵarreb mazāji?
Are you going to start that topic again and ruin my mood?
انتا اللي بلّش بالمشكلة اصلا.
enta lli ballaš bil-muškile aṣlan.
You're the one who started the problem in the first place.",
227,بلّغ,ajp,Verb,to report,,
228,بلّغ,ajp,Verb,to inform,"لازم تبلّغ الشرطة.
lāzem tballeḡ iš-šurṭa
You must inform the police.",
229,بندورة,ajp,Noun,(uncountable) tomatoes,"حبة بندورة
ḥabbet bandōra
a tomato",/wiki/%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9
230,بنى,ajp,Verb,to build,"رح يبنو هون عمارة كبيرة.
raḥ yibnū hōn ʕamāra kbīre
They're going to build a big building here.",/wiki/%D8%A8%D9%86%D9%89
231,بوط,ajp,Noun,(pair of) boots,"فردة بوط
fardet bōṭ
a (single) boot",/wiki/%D8%A8%D9%88%D8%B7
232,بيت,ajp,Noun,"house, home","صاحب البيت
ṣāḥeb il-bēt
the landlord
the owner of the house",/wiki/%D8%A8%D9%8A%D8%AA
233,بيت,ajp,Noun,case (container),"بيت النضارات
bēt in-naḍḍārāt
glasses case
بيت مخدة
bēt mḵadde
pillowcase",/wiki/%D8%A8%D9%8A%D8%AA
234,بيض,ajp,Noun,(uncountable) eggs,,/wiki/%D8%A8%D9%8A%D8%B6
235,بيض,ajp,Adjective,"plural of أبيض‎ (ʾabyaḍ, “white”)",,/wiki/%D8%A8%D9%8A%D8%B6
236,بين,ajp,Preposition,between (in the position or interval that separates two things),"فيه خلاف بيني وبينك.
fīh ḵilāf bēni u-bēnak
There is a disagreement between us.
حطّه بين الباب والشبّاك.
ḥaṭṭo bēn il-bāb w-iš-šubbāk
I've placed it between the door and the window.",/wiki/%D8%A8%D9%8A%D9%86
237,بيّن,ajp,Verb,"to appear, to be visible","هادي أوّل مرّة بعرف إنّه البحر ممكن يبيّن من رام الله.
hādi ʔawwal marra baʕref ʔinno il-baḥr mumkin ybayyen min rām-allah
This is the first time I know that the sea could be seen from Ramallah.
ليش ما عمّ بتبيّن؟
lēš mā ʕamm bitbayyen
Why don't we see you anymore?
Why aren't you being visible?
ما بحبّ أبيّن.
mā baḥebb abayyen
I don't like to be conspicuous.
I don't like to be visible.",
238,تبع,ajp,Preposition,forms possessive pronouns of all persons with the respective personal suffixes,"هادي تبعتي.
hādi tabaʕti
This one is mine.",/wiki/%D8%AA%D8%A8%D8%B9
239,تبع,ajp,Preposition,of; used appositively after a noun instead of an ordinary possessive iḍāfa construction,"هادي التنّورة تبعة إمّي.
hādi t-tannūra tabaʕt ʔimmi
This is my mother’s skirt.
بدَي أستعمل الكمبيوتر تبعكم.
biddi ʔastaʕmel l-kambyūtar tabaʕkom
I need to use your computer.",/wiki/%D8%AA%D8%A8%D8%B9
240,تبع,ajp,Verb,(formal) to follow,,/wiki/%D8%AA%D8%A8%D8%B9
241,تبع,ajp,Verb,"(by extension) to depend on, to be a matter of","هادا تابع لذوق الواحد.
hāda tābeʕ la-zōʔ il-wāḥad
It's a matter of individual taste.",/wiki/%D8%AA%D8%A8%D8%B9
242,تبّع,ajp,Verb,to keep track,,
243,تبّع,ajp,Verb,to follow up (+ مع‎),,
244,تحسّن,ajp,Verb,(intransitive) to improve,"عن جد العربي عندك تحسّن كتير.
ʕan jad il-ʕarabi ʕindak tḥassan ktīr
Your Arabic has really improved a lot.",
245,تحمّل,ajp,Verb,"to sustain, to endure","لازم يتحمّل النتائج
lāzem ythammel an-natīj
He must bear the consequences
مش ممكن أتحمّل أكتر من هيك
mish mumkin tḥammal aktar min hēk
I can't stand any more of this.",
246,تخيّب,ajp,Verb,to be disappointed,"تخيّب أمله بعد ما شاف الفيلم.
tḵayyab ʔamalo baʕd mā šāf il-film
He was disappointed after he saw the film.
His hope was disappointed after he saw the film.",
247,تخيّل,ajp,Verb,to imagine,"بقدر أتخيّل قدّيش صعب ممكن يكون.
baʔdar atḵayyal ʔaddēš ṣaʕb mumkin ykūn
I can imagine how difficult it could be.",
248,تذكرة,ajp,Noun,ticket,,/wiki/%D8%AA%D8%B0%D9%83%D8%B1%D8%A9
249,تسرّع,ajp,Verb,"(intransitive) to hurry, to rush","بتسرّع في قراراته
bitsarraʕ fi qarārto
He's hasty in his decisions.",
250,تسكّر,ajp,Verb,mediopassive of سكّر‎ (sakkar): to close,"الباب بتسّكر لحاله.
il-bāb bitsakkar la-ḥālo
The door closes automatically.",
251,تعرّف,ajp,Verb,"to meet, to get to know","ممكن هاي فرصة تتعرّف على صحاب جداد.
mumken hāy furṣa titʕarraf ʕala ṣḥāb jdād
This could be an opportunity to meet new friends.",
252,تعرّف,ajp,Verb,to introduce oneself,,
253,تعلّم,ajp,Verb,to learn,"فيه شغلة بسيطة لازم نتعلّمها قبل ما نبدا نشرح.
fīh šaḡle baṣīṭa lāzem nitʕallam-ha ʔabl ma nibda nišraḥ
There's one small thing we need to learn before we start to explain.",
254,تـ,ajp,Conjunction,Alternative form of حتّى‎ (ḥatta),"خلّينا نستنّى تيرجع.
ḵallīna nistanna ta-yirjaʕ.
Let's wait until he comes back.",
255,تكرّر,ajp,Verb,"to recur, to happen again","الإحتمال الأكبر إنّه جائحة زيّ كورونا مش رح تتكرّر مرّة ثانية في حياتنا.
il-iḥtimāl il-akbar ʔinno jāʾiḥa zayy korona miš raḥ titkarrar marra ṯānye fi ḥayāt-na.
A pandemic like COVID most likely won't happen again in our lifetimes.",
256,تلج,ajp,Noun,snow,,/wiki/%D8%AA%D9%84%D8%AC
257,تلج,ajp,Noun,ice,,/wiki/%D8%AA%D9%84%D8%AC
258,تلفون,ajp,Noun,"telephone, phone","التلفون برنّ.
it-talefōn birenn
The phone rings.",/wiki/%D8%AA%D9%84%D9%81%D9%88%D9%86
259,تلفون,ajp,Noun,phone call,,/wiki/%D8%AA%D9%84%D9%81%D9%88%D9%86
260,تلّج,ajp,Verb,to snow,"(الدنيا) عم بتتلّج.
(id-dinya) ʕam bittallej.
It's snowing.",
261,تلّج,ajp,Verb,(transitive) to freeze,,
262,تمنّى,ajp,Verb,to hope,,
263,تمنّى,ajp,Verb,to wish (something (+ ب‎) for someone),"بتمنّالك بالنجاح بتحقيق أهدافك.
batmannālak bi-n-najāḥ bi-taḥʔīʔ ʔahdāfak.
I wish you success in accomplishing your goals.",
264,تنكة,ajp,Noun,"tin, can (container)","تنكة زيت
tanket zēt
tin/can of oil
تنكة الزبالة
tanket iz-zbāle
rubbish bin, garbage can",/wiki/%D8%AA%D9%86%D9%83%D8%A9
265,تنينات,ajp,Preposition,both of (followed by a suffix pronoun),"تنيناتكم
tnēnāt-kom
both of you / you two",/wiki/%D8%AA%D9%86%D9%8A%D9%86%D8%A7%D8%AA
266,توم,ajp,Noun,(pair of) twins,"شقة توم
šaʔʔet tōm
a twin",/wiki/%D8%AA%D9%88%D9%85
267,توم,ajp,Noun,garlic,"راس تومة
rās tōme
a head of garlic
زر تومة
zerr tōme
a clove of garlic",/wiki/%D8%AA%D9%88%D9%85
268,ثقة,ajp,Noun,"trust, confidence","الثقة بالنّفس
iṯ-ṯiqa b-in-nafs
self-confidence
إله ثقة فيّ
ʔilo ṯiqa fiyyi
He has faith in me.",/wiki/%D8%AB%D9%82%D8%A9
269,جاب,ajp,Verb,"to bring, to take, to get","رح أروح أجيب شنطتي بسرعة.
raḥ ʔarūḥ ʔajīb šanṭati bsurʕa
I'm going to go get my bag really quick.",/wiki/%D8%AC%D8%A7%D8%A8
270,جاب,ajp,Verb,to give birth,,/wiki/%D8%AC%D8%A7%D8%A8
271,جاي,ajp,Participle,"active participle of إجا‎ (ʔija, “to come”): coming, approaching",,/wiki/%D8%AC%D8%A7%D9%8A
272,جاي,ajp,Adjective,next,"الأسبوع الجاي
il-ʔusbūʕ il-jāy
next week",/wiki/%D8%AC%D8%A7%D9%8A
273,جاي عباله,ajp,Phrase,"to feel like (doing something), to crave (something)","مش جاي عبالي أسهر الليلة․
miš jāy ʕa-bāli ʔashar il-lēle
I don't feel like staying up tonight.",/wiki/%D8%AC%D8%A7%D9%8A_%D8%B9%D8%A8%D8%A7%D9%84%D9%87
274,جبل,ajp,Noun,"hill, mountain","سلسلة جبال
silsilet jbāl
mountain range",/wiki/%D8%AC%D8%A8%D9%84
275,جسر,ajp,Noun,bridge,,/wiki/%D8%AC%D8%B3%D8%B1
276,جنن,ajp,Verb,to make someone crazy,,/wiki/%D8%AC%D9%86%D9%86
277,جنن,ajp,Verb,"(by extension, intransitive) to be lovely, amazing, wonderful, etc.","اغنيتها الجديدة بتجنّن.
oḡnyetha l-jdīde bitjannen.
Her new song is amazing.",/wiki/%D8%AC%D9%86%D9%86
278,جنن,ajp,Verb,"(by extension, transitive) to please greatly","جنّنني لمّا صارو يغنّو الولاد.
jannanni lamma ṣāru yḡannu l-ūlād.
I loved when the kids started singing.
It was pleasing to me when the kids started singing.",/wiki/%D8%AC%D9%86%D9%86
279,جهاز,ajp,Noun,"appliance, device","جهاز التلفزيون
jihāz it-talfizyōn
television set
جهاز توقيت
jihāz tawqīt
timer, time switch",/wiki/%D8%AC%D9%87%D8%A7%D8%B2
280,جهاز,ajp,Noun,"system, apparatus","الجهاز الدموي
il-jihāz id-damawi
the bloodstream, the circulatury system
الجهاز الحكومي
il-jihāz il-ḥukūmi
the apparatus of the government",/wiki/%D8%AC%D9%87%D8%A7%D8%B2
281,جهاز,ajp,Noun,"equipment, gear","جهاز العروس
jihāz il-ʕarūs
trousseau",/wiki/%D8%AC%D9%87%D8%A7%D8%B2
282,جينة,ajp,Noun,verbal noun of إجا‎ (ʔija),,/wiki/%D8%AC%D9%8A%D9%86%D8%A9
283,جينة,ajp,Noun,"coming, arrival","جينته كانت صدفة.
jēnto kānat ṣudfe
He arrived unexpectedly.
His arrival was by chance.",/wiki/%D8%AC%D9%8A%D9%86%D8%A9
284,جيّة,ajp,Noun,"Galilee form of جينة‎ (jēne, “arrival”)",,
285,حاجة,ajp,Noun,need,,/wiki/%D8%AD%D8%A7%D8%AC%D8%A9
286,حاجة,ajp,Noun,"object, matter",,/wiki/%D8%AD%D8%A7%D8%AC%D8%A9
287,حاجة,ajp,Noun,(Gaza) thing,,/wiki/%D8%AD%D8%A7%D8%AC%D8%A9
288,حاجة,ajp,Interjection,"enough!, stop!","حاجة تبكي.
hāje tibki
Stop crying.",/wiki/%D8%AD%D8%A7%D8%AC%D8%A9
289,حامض,ajp,Adjective,sour,,/wiki/%D8%AD%D8%A7%D9%85%D8%B6
290,حامض,ajp,Adjective,acid,,/wiki/%D8%AD%D8%A7%D9%85%D8%B6
291,حامض,ajp,Noun,acid,,/wiki/%D8%AD%D8%A7%D9%85%D8%B6
292,حامض,ajp,Noun,"(Galilee, uncountable) lemons","حبّة حامض
ḥabbet ḥāmod
a lemon",/wiki/%D8%AD%D8%A7%D9%85%D8%B6
